0;Labels
Dry ice;['Category:All articles with unsourced statements', 'Category:Articles containing video clips', 'Category:Articles with short description', 'Category:Articles with unsourced statements from May 2013', 'Category:Brands that became generic', 'Category:CS1 French-language sources (fr)', 'Category:Carbon dioxide', 'Category:Commons category link is on Wikidata', 'Category:Coolants', 'Category:Ice', 'Category:Refrigerants', 'Category:Webarchive template wayback links']
Duck Donuts;['Category:2006 establishments in North Carolina', 'Category:All articles needing coordinates', 'Category:Bakeries of the United States', 'Category:Coffee houses of the United States', 'Category:Companies based in Pennsylvania', 'Category:Doughnut shops', 'Category:North Carolina articles missing geocoordinate data', 'Category:Official website not in Wikidata', 'Category:Restaurants established in 2006', 'Category:Restaurants in New York (state)', 'Category:Restaurants in North Carolina', 'Category:Restaurants in Ohio', 'Category:Restaurants in Virginia']
Duck blood and vermicelli soup;['Category:Articles containing simplified Chinese-language text', 'Category:Blood soups', 'Category:Chinese soups', 'Category:Duck dishes', 'Category:Food combinations', 'Category:Jiangsu cuisine', 'Category:Webarchive template wayback links']
Dude food;['Category:All articles with unsourced statements', 'Category:Articles with unsourced statements from December 2018', 'Category:CS1 maint: Multiple names: authors list', 'Category:Food and drink terminology', 'Category:Gender', 'Category:Wikipedia articles needing clarification from December 2018']
Duff Beer;['Category:All articles needing additional references', 'Category:All articles with unsourced statements', 'Category:Articles needing additional references from December 2016', 'Category:Articles with hProducts', 'Category:Articles with hRecipes', 'Category:Articles with unsourced statements from February 2016', 'Category:CS1 French-language sources (fr)', 'Category:CS1 German-language sources (de)', 'Category:CS1 maint: Archived copy as title', 'Category:Commons category link from Wikidata', 'Category:Fictional brands', 'Category:Fictional companies', 'Category:Fictional drinks', 'Category:Pages using deprecated image syntax', 'Category:The Simpsons', 'Category:Use mdy dates from November 2017', 'Category:Webarchive template wayback links']
Duff Goldman;['Category:1974 births', 'Category:21st-century American bass guitarists', 'Category:All BLP articles lacking sources', 'Category:All articles with a promotional tone', 'Category:American Jews', 'Category:American bakers', 'Category:American bass guitarists', 'Category:American chefs', 'Category:American television chefs', 'Category:Articles with a promotional tone from December 2013', 'Category:Articles with hCards', 'Category:Articles with short description', 'Category:BLP articles lacking sources from October 2016', 'Category:CS1 maint: Archived copy as title', 'Category:Culinary Institute of America alumni', 'Category:Food Network chefs', 'Category:George Washington University Corcoran School alumni', 'Category:Living people', 'Category:Male chefs', 'Category:Pastry chefs', 'Category:University of Maryland, Baltimore County alumni', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles with ISNI identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with VIAF identifiers', 'Category:Wikipedia articles with WorldCat-VIAF identifiers']
Duke Manufacturing Company;['Category:Kitchenware brands']
Dumb Starbucks;['Category:2014 American television episodes', 'Category:2014 hoaxes', 'Category:2014 in Los Angeles', 'Category:Articles with short description', 'Category:Comedy television episodes', 'Category:Hoaxes in the United States', 'Category:Pages containing links to subscription-only content', 'Category:Starbucks', 'Category:Television episode articles with short description for single episodes']
Dungeness crab;"['Category:All articles with failed verification', ""Category:Articles with 'species' microformats"", 'Category:Articles with failed verification from September 2016', 'Category:Articles with short description', 'Category:Cancroidea', 'Category:Commercial crustaceans', 'Category:Commons category link is on Wikidata', 'Category:Crustaceans described in 1852', 'Category:Crustaceans of the eastern Pacific Ocean', 'Category:Edible crustaceans', 'Category:Fauna of Alaska', 'Category:Fauna of Western Canada', 'Category:Fauna of the San Francisco Bay Area', 'Category:Fauna of the Western United States', 'Category:Symbols of Oregon', 'Category:Taxonbars with automatically added original combinations', 'Category:Wikipedia articles with LCCN identifiers']"
Dunkin' Brands;"['Category:1950 establishments in Massachusetts', 'Category:2011 initial public offerings', 'Category:All articles with a promotional tone', 'Category:Articles with a promotional tone from May 2012', 'Category:Companies based in Norfolk County, Massachusetts', 'Category:Companies based in Southeastern Massachusetts', 'Category:Companies listed on NASDAQ', ""Category:Dunkin' Brands"", 'Category:Fast-food chains of the United States', 'Category:Food and drink companies of the United States', 'Category:Holding companies of the United States', 'Category:Restaurant groups in the United States', 'Category:Restaurants established in 1950', 'Category:Retail companies established in 1950']"
Dunkin' Donuts;"['Category:1950 establishments in Massachusetts', 'Category:All articles lacking reliable references', 'Category:All articles with unsourced statements', 'Category:Articles lacking reliable references from September 2018', 'Category:Articles with unsourced statements from August 2013', 'Category:Articles with unsourced statements from February 2016', 'Category:Articles with unsourced statements from September 2018', 'Category:Bagel companies', 'Category:Bakeries of the United States', 'Category:CS1 Danish-language sources (da)', 'Category:CS1 Swedish-language sources (sv)', 'Category:Cafés in Singapore', 'Category:Coffee brands', 'Category:Coffee houses of the United States', 'Category:Commons category link is on Wikidata', 'Category:Companies based in Norfolk County, Massachusetts', 'Category:Companies based in Southeastern Massachusetts', 'Category:Doughnut shops', ""Category:Dunkin' Brands"", 'Category:Fast-food chains of the United States', 'Category:Fast-food franchises', 'Category:Official website different in Wikidata and Wikipedia', 'Category:Restaurants established in 1950', 'Category:Restaurants in Massachusetts', 'Category:Use mdy dates from December 2016', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with VIAF identifiers', 'Category:Wikipedia articles with WorldCat-VIAF identifiers']"
Durio graveolens;"['Category:Articles containing Batak Karo-language text', 'Category:Articles containing Iban-language text', 'Category:Articles containing Malay-language text', 'Category:Articles containing Southern Thai-language text', ""Category:Articles with 'species' microformats"", 'Category:CS1 Italian-language sources (it)', 'Category:CS1 Malay-language sources (ms)', 'Category:CS1: long volume value', 'Category:Commons category link is on Wikidata', 'Category:Durio', 'Category:Flora of Indo-China', 'Category:Flora of Malesia', 'Category:Fruits originating in Asia', 'Category:Night-blooming plants', 'Category:Non-timber forest products', 'Category:Pages with DOIs inactive as of 2019', 'Category:Plants described in 1889', 'Category:Taxa named by Odoardo Beccari', 'Category:Trees of Borneo', 'Category:Trees of Malesia', 'Category:Tropical agriculture', 'Category:Tropical fruit']"
Dutch Lady Milk Industries Berhad;['Category:1963 establishments in Malaysia', 'Category:Commons category link is on Wikidata', 'Category:Companies established in 1963', 'Category:Companies listed on the Malaysia Exchange', 'Category:Dairy products companies of Malaysia', 'Category:EngvarB from May 2017', 'Category:FrieslandCampina', 'Category:Malaysian brands', 'Category:Malaysian subsidiaries of foreign companies', 'Category:Manufacturing companies established in 1963', 'Category:Use dmy dates from May 2017']
Dutch process chocolate;['Category:All articles with unsourced statements', 'Category:Articles with short description', 'Category:Articles with unsourced statements from February 2015', 'Category:Articles with unsourced statements from May 2015', 'Category:Chocolate industry', 'Category:Dutch chocolate', 'Category:Dutch cuisine', 'Category:Dutch inventions', 'Category:Industrial history of the Netherlands', 'Category:Pages using deprecated image syntax']
